City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Marystown,CA,2021-05-26 17:24:09,47.1666,-55.1483,48.02,93,100,7.0
282,Champerico,GT,2021-05-26 17:27:35,14.3,-91.9167,90.77,59,72,4.52
283,Odesskoye,RU,2021-05-26 17:27:35,54.2111,72.9651,71.69,54,100,9.42
284,Vryburg,ZA,2021-05-26 17:27:35,-26.9566,24.7284,56.12,50,50,3.69
285,Esso,RU,2021-05-26 17:27:36,55.9333,158.7,29.53,98,98,3.96
286,Vicksburg,US,2021-05-26 17:27:36,32.3526,-90.8779,84.56,74,75,6.64
287,Eyl,SO,2021-05-26 17:27:36,7.9803,49.8164,81.05,73,89,20.65
288,Saint-Georges,GD,2021-05-26 17:27:37,12.0564,-61.7485,87.48,62,20,21.85
289,Wau,SS,2021-05-26 17:27:37,7.7029,27.9953,87.13,38,97,4.56
290,Saint-Augustin,CA,2021-05-26 17:27:38,51.226,-58.6502,47.86,56,90,11.16
291,Muisne,EC,2021-05-26 17:27:38,0.6,-80.0333,86.11,79,81,8.19
292,Huarmey,PE,2021-05-26 17:27:38,-10.0681,-78.1522,72.48,74,30,9.35
